
2025-07-12T03:51:13.636Z /game.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0140.0
2025-07-12T03:48:10.304Z /control.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0140.003:48:09.870Z /obstacle.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:48:09.886Z /gun.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:48:09.889Z /control.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:48:09.909Z /main.css.map  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:48:09.949Z /favicon.ico  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0140.0
2025-07-12T03:48:10.136Z /logout  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:48:10.147Z /login  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:48:10.242Z /main.css  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:48:10.244Z /script.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
2025-07-12T03:48:10.245Z /game.js  GET 1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0
